#{"t_start": 1621788826.2877219, "env_id": null}
r,l,t
7.839241,49,30.412104
6.163483,49,30.447779
7.812613,49,30.467488
8.106082,49,30.487453
7.535744,49,30.524645
6.481312,49,30.544516
8.034007,49,30.581998
7.573097,49,30.602836
7.818171,49,30.622809
8.207193,49,30.659565
8.236027,49,30.69094
8.137513,49,30.711893
6.54191,49,30.749938
6.983723,49,30.769651
7.977276,49,30.80764
8.328945,49,30.826937
8.181831,49,30.846582
6.694848,49,30.883116
8.209107,49,30.902695
8.307861,49,30.922949
6.568808,49,30.964341
5.368168,49,30.985116
6.499418,49,31.026372
8.045982,49,31.047799
5.945455,49,31.071114
5.948376,49,31.122596
7.980071,49,31.150183
7.824821,49,31.200567
6.968674,49,31.228641
6.370028,49,31.258656
7.936498,49,31.322001
8.12435,49,31.352769
5.089392,49,31.38341
8.246444,49,31.449806
6.489746,49,31.481213
8.077758,49,31.540669
8.234067,49,31.571076
8.12861,49,31.601911
6.970374,49,31.659964
7.220977,49,31.690795
7.770703,49,31.746967
6.316537,49,31.779769
6.886675,49,31.811375
8.008719,49,31.868173
8.126786,49,31.898417
7.816947,49,31.928442
7.373352,49,31.987964
8.128514,49,32.018479
7.999332,49,32.076192
7.21377,49,32.107294
7.986866,49,32.13757
8.157063,49,32.204049
7.68323,49,32.235322
8.151364,49,32.294808
8.280323,49,32.327601
8.144493,49,32.358175
6.394194,49,32.41708
6.909045,49,32.447788
8.383229,49,32.477885
7.995547,49,32.538781
7.030005,49,32.568478
7.4424,49,32.626454
8.181096,49,32.65733
8.309818,49,32.687263
8.062228,49,32.74414
8.109263,49,32.774788
6.871394,49,32.805889
8.306841,49,32.864793
8.167141,49,32.895653
8.394885,49,32.954824
8.242242,49,32.985048
8.243957,49,33.022175
6.31428,49,33.082741
6.877127,49,33.114045
5.421206,49,33.172189
6.878338,49,33.203635
8.15267,49,33.233699
8.056693,49,33.285862
6.493684,49,33.310529
8.058512,49,33.33492
8.246502,49,33.382355
8.254343,49,33.408623
8.12669,49,33.458568
5.11749,49,33.484191
